Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2013-01-01,13.51001,13.56,13.16123,13.30413,28406.21,378879.35,13.34
2013-01-02,13.35574,13.4,13.16382,13.27999,17966.81,239156.18,13.31
2013-01-03,13.28306,13.464,13.24897,13.39786,18032.25,240845.86,13.36
2013-01-04,13.4265,13.52,13.27311,13.5,29641.92,397884.35,13.42
2013-01-05,13.50001,13.548,13.314,13.44,21329.93,286932.51,13.45
2013-01-06,13.44884,13.521,13.356,13.45395,12741.13,171497.01,13.46
2013-01-07,13.51394,13.59,13.404,13.58755,25477.72,344083.33,13.51
2013-01-08,13.55376,13.87998,13.5,13.74275,42798.37,587223.86,13.72
2013-01-09,13.79904,13.86225,13.62,13.77001,28606.38,393192.24,13.74
2013-01-10,13.77001,14.32,13.77,14.13999,51811.03,727790.48,14.05
2013-01-11,14.13,14.34999,13.91001,14.13701,40434.54,570677.27,14.11
2013-01-12,14.25664,14.338,13.975,14.23699,26931.84,381546.96,14.17
2013-01-13,14.237,14.3148,13.94896,14.11601,38330.15,540759.58,14.11
2013-01-14,14.19,14.35,14.11,14.30002,22096.95,315016.66,14.26
2013-01-15,14.35,14.47899,13.99178,14.25003,51573.23,732428.4,14.2
2013-01-16,14.3,14.73,14.21001,14.73,45532.49,660929.7,14.52
2013-01-17,14.73,15.69999,14.63,15.50001,65489.44,993185.63,15.17
2013-01-18,15.59897,15.985,15.41,15.70499,56097.55,879655.99,15.68
2013-01-19,15.6843,15.77272,15.25,15.615,34588.82,534667.03,15.46
2013-01-20,15.615,15.89,15.51,15.7,25982.13,408455.8,15.72
2013-01-21,15.7,16.98,15.63412,16.8,61502.1,1007686.44,16.38
2013-01-22,16.8,17.59,16.65,17.26142,60975.24,1045898.98,17.15
2013-01-23,17.26142,17.5855,16.80155,17.50004,49439.37,851188.37,17.22
2013-01-24,17.52899,19.18999,15.6101,16.89596,172009.1,3053222.09,17.75
2013-01-25,16.76002,17.797,15.38613,17.40001,80767.49,1345890.12,16.66
2013-01-26,17.4511,17.88,16.54001,17.88,34810.6,597064.17,17.15
2013-01-27,17.81,17.99999,17.21,17.81821,23766.82,419571.12,17.65
2013-01-28,17.81821,18.88,17.75,18.72101,57669.44,1057611.3,18.34
2013-01-29,18.8,19.8,18.7,19.52538,86082.08,1650126.18,19.17
2013-01-30,19.53999,19.7989,19.14901,19.70001,45064.83,877863.5,19.48
2013-01-31,19.70001,21.43,19.51123,20.41001,99226.7,2042238.64,20.58
2013-02-01,20.50879,21.13,20.301,20.49897,49917.48,1034619.16,20.73
2013-02-02,20.3611,20.5,18,19.63001,80501.65,1567325.27,19.47
2013-02-03,19.7,20.9,19.42,20.59,34244.3,693849.61,20.26
2013-02-04,20.59999,21.05,19.85502,20.43005,52219.14,1066570.21,20.42
2013-02-05,20.43006,20.79,20.2,20.60001,29212.44,600949.67,20.57
2013-02-06,20.65999,21.3339,20.60001,21.18,51989.6,1096396.16,21.09
2013-02-07,21.11121,22.21999,20.77002,22.15,64263.77,1388465.81,21.61
2013-02-08,22.11001,22.77219,22,22.66,48649.93,1090678.48,22.42
2013-02-09,22.66,23.98961,22.57541,23.65,38133.01,886034.01,23.24
2013-02-10,23.8,24.11,22.67,23.96975,56426.07,1321513.68,23.42
2013-02-11,23.96975,24.67503,23.6456,24.65,29526.73,712458.7,24.13
2013-02-12,24.38651,25.82767,24.3001,25.16975,74239.93,1862561.32,25.09
2013-02-13,25.19,26.3,24.19491,24.2,90150.21,2296830.8,25.48
2013-02-14,24.2,27.5969,21.721,27.2205,145734.74,3710262.51,25.46
2013-02-15,27.24997,27.50617,26.103,27.1,51714.15,1396017.97,26.99
2013-02-16,27.1,27.49989,26.8075,27.21584,18826.94,511421.92,27.16
2013-02-17,27.386,27.39989,25,26.8146,77042.22,2033614.64,26.4
2013-02-18,26.89999,27.148,26.36268,26.95,29744.27,795866.42,26.76
2013-02-19,26.95,29.65,26.8,29.41759,99699.25,2810076.61,28.19
2013-02-20,29.41759,29.87035,28.98839,29.64501,37209.36,1096641.18,29.47
2013-02-21,29.64501,29.978,29.311,29.74768,34730.51,1030860.6,29.68
2013-02-22,29.75,31.3,29.67001,30.24539,66951.69,2039411.78,30.46
2013-02-23,30.24539,30.6899,28,29.79999,72278.17,2099763.39,29.05
2013-02-24,29.79999,30.39877,29.20123,29.88999,24274.89,722940.53,29.78
2013-02-25,29.89,30.4,29.55,30.39999,26778.95,805270.53,30.07
2013-02-26,30.39991,31.699,30.1171,31.1,42864.33,1329295.41,31.01
2013-02-27,31.19999,31.65,30.7901,30.9012,30472.78,951289.24,31.22
2013-02-28,31.25997,34.51541,30.902,33.38,126517.41,4136416.34,32.69
2013-03-01,33.37999,34.9,32.92,34.5,39786.14,1362290.79,34.24
2013-03-02,34.5,34.808,33.15,34.25,36662.49,1241775.93,33.87
2013-03-03,34.2489,34.5,33.8,34.49999,12524.59,427480.57,34.13
2013-03-04,34.49999,36.7,34.19,36.152,46771.49,1659027.49,35.47
2013-03-05,36.152,40.64625,36.15,40.33,85425.52,3361374.96,39.35
2013-03-06,40.22994,49.099,40.1446,41.0201,126451.72,5712472.93,45.18
2013-03-07,41.0201,45.5,33.3,41.99999,157316.08,6439707.76,40.93
2013-03-08,41.99999,44.5,41.02,44.17999,47095.97,2032649.25,43.16
2013-03-09,44.17999,46.99,43.411,46.85,44475.89,2020839.64,45.44
2013-03-10,46.61,47.95,45.471,46,36363.25,1703124.85,46.84
2013-03-11,46,48.469,45.54,48.39999,41390.18,1970814.35,47.62
2013-03-12,48.39999,48.39999,36.65,44.28994,183404.75,8014406.02,43.7
2013-03-13,44.33,47.295,43.7508,46.92002,49497.44,2297381.06,46.41
2013-03-14,46.92006,47.99,46.05,47.1696,37034.85,1752253.49,47.31
2013-03-15,47.0333,47.44999,46.4,46.95,20223.95,951174.39,47.03
2013-03-16,46.86012,47.3599,46.2707,47.00019,16288.51,763344.96,46.86
2013-03-17,47.00019,47.74,46.8,47.4,13902.62,658983.36,47.4
2013-03-18,47.4,52.875,47.12009,51.60001,65199.79,3193717.3,48.98
2013-03-19,51.60001,62,50,59.14001,111627.22,6182806.06,55.39
2013-03-20,59.14001,66,57.702,64.4888,93128.83,5776100.55,62.02
2013-03-21,64.4888,74.9,63.101,70.85,94225.81,6508438.17,69.07
2013-03-22,70.84,73.74999,65,69.86501,73168.07,5169041.03,70.65
2013-03-23,70.28001,70.5025,52.3456,64.35,150462.18,9429342.99,62.67
2013-03-24,64.35001,72.49999,62.7,71.5,42006.36,2895161.77,68.92
2013-03-25,71.50001,78,69.51777,73.6,79730.06,5920116.46,74.25
2013-03-26,73.58561,79.72001,73.11,78.5,56654.33,4376373.47,77.25
2013-03-27,78.74999,89.49999,78.4,88.92,72182.81,6126022.75,84.87
2013-03-28,88.8,95.7,75.00111,86.18,140226.88,12257633.95,87.41
2013-03-29,86.18,93.06,83.01,90.5,83152.75,7382080.86,88.78
2013-03-30,90.46598,94.98,87,92.19003,37270.51,3418588.27,91.72
2013-03-31,92.19003,93.8,91,93.03001,21092.38,1955242.2,92.7
2013-04-01,93.25,106,92.2361,104,90527.29,9055970,100.04
2013-04-02,104.00001,118.36,99,117.98,81260.8,8744282.1,107.61
2013-04-03,118,147,110,135,152624.24,19519658.71,127.89
2013-04-04,135,142.12,116.39063,132.12001,88124.78,11598387.76,131.61
2013-04-05,132.79998,144.94,130.24303,142.32356,68557.5,9544390.16,139.22
2013-04-06,142.05001,143.9,139.54,142.63112,18273.09,2597665.45,142.16
2013-04-07,142.63113,164.9,142.63113,162.30102,60947.52,9401468.33,154.26
2013-04-08,163.83899,194.9,162.59806,187.5,114126.51,20713163.11,181.49
2013-04-09,186.5,240.111,186.5,230,105724.64,22696282.53,214.67
2013-04-10,230.04359,266,105,165,190141.86,35109363.41,184.65
2013-04-11,166.48159,188.7,110.20003,124.9,118645.43,18855846.81,158.93
2013-04-12,124.9,140,54.25,117,556289.1,47600783.3,85.57
2013-04-13,117,130,85.5,93,238226.32,26254439.22,110.21
2013-04-14,93,109.998,84.43689,89.99999,166267.46,16195892.56,97.41
2013-04-15,90,102,71.51,82.38601,236632.26,20602989.31,87.07
2013-04-16,82.5,84.5,50.01,68.35568,572185.69,37382133.29,65.33
2013-04-17,68.49,98.77799,63.3,93.07,327596.55,27933826.14,85.27
2013-04-18,93.07,112.99999,86,109.01,172934.67,16840477.58,97.38
2013-04-19,109.15263,136.4321,105.54,118.48,257118.56,30707765.35,119.43
2013-04-20,118.48001,132,115,126.61552,74351.51,9221372.14,124.02
2013-04-21,126.61553,130.49979,110,119.2,99128.56,12043904.1,121.5
2013-04-22,118.5,127.39999,118.5,127.39999,59118.35,7285334.39,123.23
2013-04-23,127.39999,144.019,124.97,143.475,116098.21,15630270.39,134.63
2013-04-24,143.476,166.43438,140.96635,154.2,225857.24,34345816.98,152.07
2013-04-25,154.9,162,120.089,141.71002,187632.74,26844741.74,143.07
2013-04-26,141.71001,144.987,121.45164,136.90001,128988.67,17058551.43,132.25
2013-04-27,136.89,139.88,122.71,128.00011,59870.79,7853806.49,131.18
2013-04-28,128.00011,136.68,127.5,134.44444,27503.11,3662548.48,133.17
2013-04-29,134.4,149.08,133,143.99991,70186.33,9983975.08,142.25
2013-04-30,143.80001,146.93,134,139.2269,65198.58,9119200.99,139.87
2013-05-01,139.00004,140.06,104,116.37999,179988.85,21787942.86,121.05
2013-05-02,116.37999,126.9,91.11,106.25,234129.17,24932099.53,106.49
2013-05-03,106.5,109,79,98.1,246411.17,22496255.33,91.3
2013-05-04,98.10246,116.3,92,112.9,132582.59,14143158.98,106.67
2013-05-05,112.9,118.85,107,115.98,84177.84,9553872.26,113.5
2013-05-06,115.9372,124.9,106.01,112.25,150048.99,17604384.72,117.32
2013-05-07,112.245,114,97.52,109.60013,139626.72,14898971.67,106.71
2013-05-08,109.69773,116.777,109.5,113.2,61680.32,6990518.96,113.33
2013-05-09,113.48999,113.71852,108.8,112.799,26894.46,3003068.41,111.66
2013-05-10,112.799,122.5,111.54,117.7,77443.67,9140709.08,118.03
2013-05-11,117.59001,118.74,113,115.64,28023.47,3238018.29,115.55
2013-05-12,115.65,117.47,112.4,114.82002,20575.19,2357929.41,114.6
2013-05-13,114.82,118.88,114.5002,117.97968,26134.01,3058207.49,117.02
2013-05-14,117.97968,119.80002,109.42198,111.4,87726.09,10075279.73,114.85
2013-05-15,111.29998,116.44,103.01847,114.22,117898.23,12997994.8,110.25
2013-05-16,114.22,118.96999,112.1,118.21,45071.68,5202992.37,115.44
2013-05-17,118.21,125.5555,116.5712,123.49997,79063.33,9600699.71,121.43
2013-05-18,123.5,125.31189,122.25,123.211,22615.72,2800255.89,123.82
2013-05-19,123.25,124.50101,119.5,122.5,20478.43,2495650.34,121.87
2013-05-20,122.5,123.69,120.1,122.02,17238.12,2108418.94,122.31
2013-05-21,121.99999,123.08085,121.1,122.89001,13313.67,1628026.67,122.28
2013-05-22,122.89001,124.5,122,123.8,18198.48,2238395.81,123
2013-05-23,123.80001,126.93446,123,126.3,22045.5,2762861.55,125.33
2013-05-24,126.3,133.98,125.35502,133.1,48649.99,6317090.66,129.85
2013-05-25,133.4,133.5,128.2,131.986,16816.58,2200845.29,130.87
2013-05-26,131.986,136,130.61,133.5,23327.21,3126240.29,134.02
2013-05-27,133.5,135.47,124,129.76999,46796.59,6052716.47,129.34
2013-05-28,129.76994,130.62998,125.4,128.99996,22748.7,2911329.39,127.98
2013-05-29,128.99901,132.71988,127.6,132.25,19177.31,2500237.39,130.37
2013-05-30,132.25,132.4,126.5,128.79901,24566.45,3179031.6,129.41
2013-05-31,128.8,130,126.33,128.81505,16466.87,2110227.34,128.15
2013-06-01,128.82506,129.78999,127.10001,129.3,6309.92,810240.48,128.41
2013-06-02,129.2981,130.1,115,122.5,101114.74,12332357.62,121.96
2013-06-03,122.49962,122.78483,115.111,120.73716,28795.29,3426873.4,119.01
2013-06-04,121.21357,123.99,118.78525,121.39997,21749.73,2633256.94,121.07
2013-06-05,121.39997,123.5,119.5,121.90001,16591.69,2015275.84,121.46
2013-06-06,121.9,123.29999,117,118.9699,21921.97,2623564.82,119.68
2013-06-07,118.02768,119.13333,106.15,111,65643.28,7357062.32,112.08
2013-06-08,112.12,113.1862,107,107.89242,17113.57,1862090.61,108.81
2013-06-09,107.89611,108.99,88,100.43743,149250.92,14628128.89,98.01
2013-06-10,101,110.63051,95,106.35001,64125.61,6764668.73,105.49
2013-06-11,106.10002,109.6,103.23021,109,15933.45,1704624.52,106.98
2013-06-12,109,112.25,106,108.77592,17540.54,1916593.99,109.27
2013-06-13,109.14444,110.3,100.3,103.949,30276.66,3186391.58,105.24
2013-06-14,103.94895,104.7,97.1,100,35923.53,3615245.12,100.64
2013-06-15,99.99999,103.7,97.5,99.8,22476.84,2257850.79,100.45
2013-06-16,99.79,101.7499,98.90017,99.9,8619.58,861313.23,99.93
2013-06-17,99.9,102.4,98.9,101.95,15024.77,1516435.36,100.93
2013-06-18,101.95,113.3,101.03311,107.34998,60446.31,6491826.47,107.4
2013-06-19,107.05,110.9863,104.6603,108.251,17421,1879212.32,107.87
2013-06-20,108.25,114.48,107.12222,111.29,42909.53,4774161.1,111.26
2013-06-21,111.09999,115.005,107.56,109.5,37916.61,4221551.74,111.34
2013-06-22,108.9,109.95653,107.5111,108.2,7196.65,781056.97,108.53
2013-06-23,108.00003,109,106.19675,107.90001,10974.21,1179572.74,107.49
2013-06-24,107.60002,108.334,100.761,102.09,28755.72,2970209.43,103.29
2013-06-25,102.97996,109.98,100,103.32933,93495.87,9737161.74,104.15
2013-06-26,103.84,105.4899,101.8322,104,13074.01,1361155.01,104.11
2013-06-27,103.99999,104,100.055,101.73678,14516.46,1481838.89,102.08
2013-06-28,101.60626,101.78799,92.25,94.66,47455.09,4594020.57,96.81
2013-06-29,94.7,100.4398,93,94.999,25419.63,2457873.24,96.69
2013-06-30,94.999,98.12228,93.85,97.51,8488.32,822038.9,96.84
2013-07-01,97.50888,98.1801,86.011,88.05,52796.2,4817325.36,91.24
